y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
3586.12426757812,3586.12426757812,1,3,0,21,1.0,6.0,7.0,2.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,3727.90673828125,1,3,1,47,1.0,6.0,48.0,4.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,3883.86767578125,1,3,0,50,1.0,6.0,120.0,5.0,11,48.0,0,48.0,1.0,1.0
6066.66650390625,7193.54248046875,1,3,1,35,1.0,7.0,144.0,5.0,11,50.0,0,50.0,1.0,1.0
4303.34912109375,5187.09912109375,1,3,0,37,1.0,7.0,36.0,5.0,11,40.0,0,40.0,1.0,1.0
4666.66650390625,5487.4814453125,1,2,0,24,1.0,7.0,12.0,5.0,11,45.0,0,45.0,1.0,1.0
1944.44445800781,2074.07397460938,1,2,0,47,3.0,5.0,96.0,1.0,11,36.0,0,36.0,3.0,0.0
,,1,2,1,43,3.0,6.0,60.0,1.0,11,70.0,1,70.0,4.0,0.0
,,1,3,1,19,1.0,6.0,14.0,3.0,11,48.0,1,48.0,4.0,0.0
4861.111328125,5650.1015625,1,3,1,18,1.0,7.0,72.0,4.0,11,48.0,0,48.0,1.0,1.0
2100.0,2100.0,1,3,0,46,1.0,6.0,2.0,1.0,11,40.0,0,40.0,3.0,0.0
3791.66674804688,3791.66674804688,1,2,0,57,1.0,6.0,36.0,5.0,11,48.0,0,48.0,1.0,1.0
8750.0,8750.0,1,2,1,24,3.0,6.0,24.0,2.0,11,16.0,0,16.0,1.0,0.0
,,1,2,1,24,1.0,5.0,11.0,3.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,3586.12426757812,1,2,0,20,1.0,7.0,7.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,3,0,42,2.0,7.0,10.0,5.0,11,8.0,1,8.0,4.0,1.0
,,1,2,0,57,1.0,5.0,120.0,1.0,11,32.0,1,32.0,4.0,1.0
3442.67944335938,3442.67944335938,1,2,1,42,3.0,5.0,18.0,2.0,11,50.0,0,50.0,1.0,0.0
5347.22216796875,6196.9765625,1,2,1,25,1.0,6.0,30.0,5.0,11,48.0,0,48.0,1.0,1.0
15555.5556640625,18148.1484375,1,3,0,58,2.0,7.0,132.0,5.0,11,30.0,0,30.0,2.0,1.0
9800.0,12133.3330078125,1,2,1,46,1.0,6.0,72.0,4.0,11,50.0,0,50.0,1.0,1.0
,,1,2,1,54,3.0,5.0,240.0,1.0,11,5.0,1,5.0,4.0,0.0
4618.0556640625,4618.0556640625,1,2,1,25,1.0,6.0,1.0,5.0,11,48.0,0,48.0,1.0,1.0
9722.22265625,10532.408203125,1,3,0,31,1.0,7.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
7259.25927734375,8295.2939453125,1,3,0,23,1.0,7.0,12.0,5.0,11,45.0,0,45.0,1.0,1.0
4666.66650390625,5268.31689453125,1,3,1,25,1.0,7.0,3.0,3.0,11,40.0,0,40.0,1.0,1.0
5833.33349609375,5833.33349609375,1,2,1,26,3.0,6.0,24.0,2.0,11,48.0,0,48.0,1.0,0.0
,,1,3,1,31,1.0,7.0,36.0,2.0,11,48.0,0,48.0,5.0,1.0
19765.27734375,21588.1953125,1,3,0,35,1.0,7.0,84.0,5.0,11,48.0,0,48.0,1.0,1.0
4861.111328125,5670.3564453125,1,2,1,52,1.0,5.0,96.0,5.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,4289.12109375,1,2,0,51,1.0,5.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,0,49,3.0,6.0,24.0,2.0,11,48.0,1,48.0,4.0,0.0
6049.3828125,6408.62939453125,1,2,1,60,1.0,6.0,12.0,5.0,11,54.0,0,54.0,1.0,1.0
5541.66650390625,6342.81005859375,1,3,1,30,1.0,6.0,84.0,3.0,11,48.0,0,48.0,1.0,1.0
,,1,3,0,60,3.0,5.0,48.0,1.0,11,84.0,1,84.0,4.0,0.0
2500.0,2500.0,1,3,1,32,,5.0,1.0,2.0,11,84.0,0,84.0,1.0,0.0
5541.66650390625,5945.8193359375,1,3,1,27,1.0,3.0,1.0,3.0,11,48.0,0,48.0,1.0,1.0
,,1,3,1,52,,6.0,360.0,2.0,11,70.0,1,70.0,4.0,0.0
,,1,3,0,48,,6.0,390.0,2.0,11,70.0,1,70.0,4.0,0.0
3586.12426757812,3586.12426757812,1,3,1,21,1.0,7.0,11.0,5.0,11,48.0,0,48.0,1.0,1.0
4861.111328125,4861.111328125,1,2,1,30,1.0,7.0,0.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,1,55,1.0,6.0,6.0,1.0,11,48.0,1,48.0,4.0,0.0
14000.0,16333.3330078125,1,3,1,27,1.0,7.0,48.0,5.0,11,45.0,0,45.0,1.0,1.0
4861.111328125,5670.3564453125,1,3,1,59,1.0,3.0,336.0,5.0,11,48.0,0,48.0,1.0,1.0
7000.0,7583.33349609375,1,3,0,57,1.0,4.0,12.0,1.0,11,40.0,0,40.0,3.0,1.0
,,1,3,0,61,3.0,3.0,60.0,1.0,11,48.0,1,48.0,4.0,0.0
,,1,3,1,52,3.0,4.0,78.0,1.0,11,48.0,1,48.0,4.0,0.0
2871.794921875,2871.794921875,1,3,1,43,1.0,6.0,24.0,2.0,11,65.0,0,65.0,1.0,0.0
5833.33349609375,6824.06005859375,1,2,1,42,1.0,7.0,43.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,3,0,50,3.0,7.0,24.0,1.0,11,28.0,1,28.0,4.0,0.0
11666.6669921875,11666.6669921875,1,4,0,26,1.0,7.0,7.0,2.0,11,60.0,0,60.0,1.0,0.0
,,1,4,0,48,1.0,5.0,7.0,2.0,11,60.0,0,60.0,5.0,0.0
,,1,3,1,36,3.0,6.0,24.0,2.0,11,70.0,1,70.0,4.0,0.0
3586.12426757812,3990.27709960938,1,2,1,22,1.0,6.0,13.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,3,1,44,1.0,7.0,13.0,4.0,11,50.0,0,50.0,1.0,1.0
14583.3330078125,15798.611328125,1,3,0,41,1.0,7.0,120.0,5.0,11,48.0,0,48.0,1.0,1.0
